
epoch 0| train:334.8313527107239 | val:137.77133750915527 | top1:0.3846366167549164 | top5:0.7741575462202872
epoch 39| train:191.61364459991455 | val:76.95111453533173 | top1:0.6506216401054014 | top5:0.9468005953296539
epoch 40| train:190.18494939804077 | val:76.60973715782166 | top1:0.6541258644673132 | top5:0.9440044164657593
epoch 41| train:189.78534364700317 | val:75.34664422273636 | top1:0.6571860601825099 | top5:0.9453004992777302
epoch 42| train:188.15178430080414 | val:75.19407713413239 | top1:0.6566940286467152 | top5:0.9480846774193549
epoch 43| train:189.2461918592453 | val:74.84931790828705 | top1:0.6665106569567034 | top5:0.9485887096774194
epoch 44| train:186.86680853366852 | val:74.20586490631104 | top1:0.6627304150212195 | top5:0.9498247888780409
epoch 45| train:188.12085783481598 | val:73.84277760982513 | top1:0.6619863673563926 | top5:0.948072676697085
epoch 46| train:185.75575983524323 | val:73.75788581371307 | top1:0.6624783988921873 | top5:0.9501008064516129
epoch 47| train:186.18534594774246 | val:73.07959824800491 | top1:0.6617343512273604 | top5:0.9493447580645161
epoch 48| train:185.00476157665253 | val:72.61744123697281 | top1:0.6619503651895831 | top5:0.9538810483870968
epoch 49| train:184.53736120462418 | val:72.85204774141312 | top1:0.6611823160802165 | top5:0.948072676697085
epoch 50| train:183.82420301437378 | val:72.55243843793869 | top1:0.659934236157325 | top5:0.9483006913815776
epoch 51| train:183.6883659362793 | val:72.54555523395538 | top1:0.662970430427982 | top5:0.9495847734712786
epoch 52| train:182.80595350265503 | val:71.89154434204102 | top1:0.6682987713044689 | top5:0.9493327573422463
epoch 53| train:181.71865516901016 | val:71.35805201530457 | top1:0.6665106569567034 | top5:0.9518529186325688
epoch 54| train:180.33785033226013 | val:71.6990897655487 | top1:0.6654785909960347 | top5:0.947064612180956
epoch 55| train:181.4110598564148 | val:71.52393931150436 | top1:0.6687187980259618 | top5:0.9493207566199764
epoch 56| train:180.1742193698883 | val:71.0153032541275 | top1:0.6679987522863573 | top5:0.9513488863745043
epoch 57| train:179.87386268377304 | val:70.53180253505707 | top1:0.6702908988921873 | top5:0.9498487903225806
epoch 58| train:178.72298395633698 | val:70.60447186231613 | top1:0.6644465250353659 | top5:0.9488167243619119
epoch 59| train:178.05641704797745 | val:70.19978439807892 | top1:0.670782930427982 | top5:0.9513608870967742
epoch 60| train:178.08981692790985 | val:69.64314812421799 | top1:0.6722950272021755 | top5:0.9533650154067624
epoch 61| train:177.73735159635544 | val:70.09404593706131 | top1:0.6606302804523899 | top5:0.9485767089551495
epoch 62| train:177.65572839975357 | val:69.8648796081543 | top1:0.6646985411643982 | top5:0.9513608870967742
epoch 63| train:177.4167776107788 | val:69.69057434797287 | top1:0.6689708141549942 | top5:0.9498127881557711
epoch 64| train:177.57744550704956 | val:69.31034415960312 | top1:0.6742871547898939 | top5:0.9493087558977066
